"Fecha del comentario","Nombre del cliente","Número de reserva","Título del comentario","Comentario positivo","Comentario negativo","Puntuación del comentario","Personal","Limpieza","Ubicación","Instalaciones y servicios","Confort","Relación calidad-precio","Respuesta del alojamiento"
"2025-05-22 11:40:34","Sarah","4820365105","Jerez, great stay ","Spotless, well equipped. ","Nothing really, all was excellent ","10","10.0","10.0","7.5","10.0","10.0","7.5","Hi Sarah, thank you for your comments and ratings.We hope you'll come back soon."
"2025-05-24 11:08:33","Monica","4577681431","","","","10","10.0","10.0","10.0","10.0","10.0","7.5",""
"2025-05-24 19:07:19","constant","4597572561","très bien","Très central, grand, des attentions à l'arrivée (vin, café....).","","10","10.0","10.0","10.0","10.0","10.0","10.0","Bonjour Constant, merci pour vos évaluations et commentaires. Nous espérons vous revoir bientôt."
"2025-05-25 13:02:19","","","","Allotjament molt net i els propietaris molt atents i amables. Un 10!!","","10","10.0","10.0","7.5","10.0","10.0","10.0","Bones, moltes gràcies per les vostres valoracions i comentaris.  Esperem tornin aviat"
"2025-05-26 00:20:56","angel","4490680430","","Todo en muy buenas condiciones ","La obra lo deja complicado para acceder","9","10.0","10.0","5.0","10.0","10.0","10.0","Buenas Ãngel,gracias por sus valoraciones y comentarios.Respecto a lo de la obra,con seguir las instrucciones que les mando no tienen problema."
"2025-06-01 16:42:34","Maria del Puerto","5378166328","Para repetir! ","Todo perfecto! La limpieza de 10, decorado con muy buen gusto y con detalles de bienvenida maravillosos! Repetiremos sin duda! ","","10","10.0","10.0","10.0","10.0","10.0","10.0","Buenas María del Puerto,muchas gracias por tus valoraciones y comentarios.Esperamos que volváis pronto y podáis disfrutar de Jerez y provincia."
"2025-06-15 15:51:02","Klaus","4728729769","Super!","sehr hübsches, gut ausgestattetes Apartment; gute Lage zu den Sehenswürdigkeiten in der Stadt. Kein FrühstückSherry als Gastgeschenk :-)Unkomplizierter Check in mit Code","-","10","7.5","10.0","10.0","10.0","10.0","10.0","Hallo Klaus, vielen Dank für deine Bewertungen und Kommentare, wir hoffen, du kommst bald wieder."
"2025-06-19 02:48:35","Amine","5357243730","Chambre spacieuse,propre et le propriétaire est gentil et très accueillant ","Propreté ","","9","10.0","10.0","10.0","10.0","10.0","10.0","Bonjour Amine, merci beaucoup pour vos notes et commentaires."
"2025-06-26 12:16:39","Isabel","6446084759","Súper recomendable","Todo","Nada","10","10.0","10.0","10.0","10.0","10.0","10.0","Buenas Isabel,muchas gracias por vuestras valoraciones y comentarios.Quedamos a las espera de que vuelvan para atenderles como se merecen y que se sientan como en casa."
"2025-07-04 19:12:51","Mª Eugenia","5913680237","","Todo nuevo y muy limpio. Cama cómoda.Muy bien equipado.Varios detalles de bienvenida. Sábanas y toallas blancas impolutas. Muy céntrico.Fácil aparcamiento.Solo tuvimos un pequeño problema que los dueños solucionaron rápidamente, incluso por la noche están pendientes del teléfono para cualquier percance. Muy amables, repetiré sin duda alguna. ","","8","10.0","10.0","10.0","10.0","10.0","10.0","Buenas María Eugenia,muchas gracias por sus comentarios y valoraciones.Estaremos encantados de poder volver a atenderles"
"2025-07-06 21:08:47","Nardy","6985436508","","Todo los detalles ,todo muy bonito y atentos ","","10","10.0","10.0","10.0","10.0","10.0","10.0","Buenas Nardy,gracias por sus valoraciones y comentarios.Esperamos que vuelvan pronto."
"2025-07-09 18:40:32","VIRGINIE","5925040107","","Logement au-delà de mes attentes pour un prix imbattable.C'est très grand, très propre, neuf et très confortable.Accueil parfait avec des surprises de bienvenue et une très bonne communication.Il y a des options de parking à proximité.5/10 minutes du centre historique à pieds.","Il n'y a absolument rien à dire.Bravo!","10","10.0","10.0","7.5","10.0","10.0","10.0","Bonjour Virginie, merci pour vos notes et commentaires. À bientôt !"
"2025-07-25 14:47:18","Lorena","5859628137","","","","8","10.0","7.5","7.5","7.5","7.5","5.0",""
"2025-08-06 22:04:16","Alfonso","4451881767","","Me gustÃ³ el espacio ","La hora de salida ","7","7.5","7.5","10.0","7.5","10.0","7.5","Buenas Alfonso,gracias por su valoraciÃ³n y comentarios, esperamos que vuelvan pronto."
"2025-08-11 20:22:41","Philipp Kirchheim","6870976006","CUIDADO - Alojamiento que no da servicios esenciales, pero cobra toda la estancia - sin escrúpulos","","Habíamos reservado una estancia de un única noche para ir a ver un concierto en Jerez, después poder descansar bien y salir durante la mañana del día siguiente. El alojamiento nos comunicó 2 horas antes de nuestra planificada llegada que no habría agua durante toda la mañana de nuestra estancia. Es un servicio básico y esencial de un alojamiento de pago ofrecer un baño en funcionamiento, el poder ducharse, asearse, ir la baño etc. por la mañana.Llamamos de forma inmediata, pero el anfitrión no le vio ningún problema a que no habría agua ""durante un par de horas"" y dijo que si queríamos ducharnos que ""nos levantáramos antes"". Todo dicho de mala manera y cero empatía o comprensión, sin ofrecer alternativa alguna. Obviamente hemos tenido que cancelar la noche, se comprenderá que no nos apetecía meternos en un alojamiento precario ...Nos ha cobrado lanoche entera, vamos a tener que reclamarlo por vía judicial.Booking no nos ayudó tampoco, muchas palabras bonitas, pero al final no han hecho absolutamente nada. Decían que tendríamos que ir y si luego no habría agua, reclamar, por si habría una compensación.No voy a reserva más en Booking, cuando necesitas algo, te dejan caer a la primera ...Muy mala experiencia.","1","2.5","","","","","","Buenas Philipp,El alojamiento da todos los servicios y más y no lo digo yo sino los cientos de huéspedes que han pasado por ellos.Como le dije amablemente,  que por motivos ajenos a nosotros,una obra pública,cortasen el suministro de agua durante solo 2 horas de su estancia no considerábamos que fuese motivo para la cancelación gratuita que nos solicitaba.Por cierto, al final no hubo ningún corte de agua como pueden constatar los huéspedes de los otros 2 apartamentos que tenemos en el mismo edificio.Lamento que no tuviese Ud. la comprensión y empatía que nos reclama."
"2025-08-12 21:04:52","Victoria","5433000318","Como en casa","Nuestra experiencia ha sido magnífica, no tenemos pega alguna. El apartamento tiene de todo (nosotros estuvimos 4 noches y no echamos nada en falta). Es coqueto, está diseñado de una forma muy aprovechada y práctica y decorado con mucho gusto. La limpieza impecable, como pocas he visto, el trato de maravilla. Destaco la cama (espectacular), los detalles tan agradecidos que dejan para los huéspedes y lo bien que olía todo. Volveremos y recomendaremos, seguro. ","¡Nada!","10","10.0","10.0","10.0","10.0","10.0","10.0","Muchas gracias Victoria,por sus valoraciones y comentarios, por su comprensión y por su buen estar.Muchas gracias de parte del equipo que prepara el apartamento por como llo habéis dejado un 10 para vosotros.Esperamos volver a veros pronto."
"2025-08-12 21:15:12","Sergio","6167238741","Angel the host was extremely prompt in giving information when asked for.. the welcoming sherry was a extremely generous","The cleanliness , attention to detail , spotless everything had been thought of for comfort and amenities ","Not applicable ","10","10.0","10.0","10.0","10.0","10.0","10.0","Hello Sergio and Margarita, thank you very much for your comments and ratings, which show us we're on the right track. If you come back to Jerez we will be happy to assist you."
"2025-08-13 21:02:27","Sandra","6684164356","REPETIRÉ SIN DUDARLO","Absolutamente todo, la limpieza, la decoración, lo nuevo que está todo, la cantidad de detalles que tienen los anfitriones con los huéspedes. Espectacular. ","","10","10.0","10.0","10.0","10.0","10.0","10.0","Buenas Sandra,muchas gracias por vuestras valoraciones y comentarios y sobretodo por las palabras que nos dirigiste a vuestra salida.Esperamos volver a veros pronto."
